
site_name,lat,long,MW,tracking,zone
101_PV_1,33.44610326,-113.835642,25.9,1,1
101_PV_2,33.39610326,-113.835642,26.7,1,1
101_PV_3,33.34610326,-113.835642,26.2,1,1
101_PV_4,33.39610326,-113.785642,25.8,1,1
102_PV_1,33.40767844,-113.8259335,25.6,1,1
102_PV_2,33.30767844,-113.8259335,25.3,1,1
103_PV_1,33.53683282,-114.6703991,61.5,1,1
104_PV_1,33.81230352,-113.8254191,26.8,1,1
113_PV_1,34.35428034,-114.274657,93.6,1,1
119_PV_1,33.86907891,-115.3691306,66.6,1,1
215_PV_1,35.14859089,-114.5757743,125.1,1,2
310_PV_1,34.72931591,-118.1045248,51.7,1,3
310_PV_2,34.72931591,-118.0545248,51.6,1,3
312_PV_1,34.72296307,-118.1198874,94.1,1,3
313_PV_1,34.31526814,-118.0188551,95.1,1,3
313_PV_2,34.21526814,-118.0188551,93.3,1,3
314_PV_1,34.99496423,-117.6848792,51.6,1,3
314_PV_2,34.94496423,-117.6848792,51.6,1,3
314_PV_3,34.89496423,-117.6848792,92.7,1,3
314_PV_4,34.94496423,-117.6348792,51.6,1,3
319_PV_1,34.9176312,-117.1244195,92.7,1,3
320_PV_1,34.46246563,-117.0635083,51.6,1,3
324_PV_1,35.20658182,-118.0348168,49.7,1,3
324_PV_2,35.15658182,-118.0348168,51.6,1,3
324_PV_3,35.20658182,-117.9848168,51,1,3

