datetime,day,time,system_wide,A,B,C
1/1/20 0:00,1/1/20,12:00:00 AM,3337.331884,985.0197922,1102.675901,1249.636191
1/1/20 1:00,1/1/20,1:00:00 AM,3261.045823,985.7248887,1082.937195,1192.383739
1/1/20 2:00,1/1/20,2:00:00 AM,3247.17265,1001.58956,1079.796946,1165.786144
1/1/20 3:00,1/1/20,3:00:00 AM,3264.598321,1036.139287,1078.451125,1150.007909
1/1/20 4:00,1/1/20,4:00:00 AM,3402.858433,1139.788471,1099.087045,1163.982917
1/1/20 5:00,1/1/20,5:00:00 AM,3672.211107,1286.801089,1156.060129,1229.349889
1/1/20 6:00,1/1/20,6:00:00 AM,3948.505719,1347.086838,1233.220526,1368.198355
1/1/20 7:00,1/1/20,7:00:00 AM,3986.759406,1305.486145,1220.659531,1460.61373
1/1/20 8:00,1/1/20,8:00:00 AM,4002.672232,1232.508659,1204.061074,1566.102499
1/1/20 9:00,1/1/20,9:00:00 AM,4032.336286,1184.20955,1209.444357,1638.682379
1/1/20 10:00,1/1/20,10:00:00 AM,4023.089346,1153.185304,1181.182119,1688.721923
1/1/20 11:00,1/1/20,11:00:00 AM,4014.027883,1129.212024,1174.004407,1710.811452
1/1/20 12:00,1/1/20,12:00:00 PM,3980.797066,1107.706581,1174.901621,1698.188864
1/1/20 13:00,1/1/20,1:00:00 PM,3958.54615,1093.957199,1161.89202,1702.696931
1/1/20 14:00,1/1/20,2:00:00 PM,3929.231137,1087.611331,1157.40595,1684.213856
1/1/20 15:00,1/1/20,3:00:00 PM,3912.80087,1091.489362,1161.89202,1659.419488
1/1/20 16:00,1/1/20,4:00:00 PM,4057.433272,1170.460168,1193.743113,1693.229991
1/1/20 17:00,1/1/20,5:00:00 PM,4578.057226,1280.102672,1409.074453,1888.880101
1/1/20 18:00,1/1/20,6:00:00 PM,4554.393766,1266.000742,1428.364552,1860.028472
1/1/20 19:00,1/1/20,7:00:00 PM,4449.398154,1245.200396,1406.831418,1797.36634
1/1/20 20:00,1/1/20,8:00:00 PM,4291.819143,1204.657348,1371.391469,1715.770326
1/1/20 21:00,1/1/20,9:00:00 PM,4016.216875,1117.577932,1296.922714,1601.716229
1/1/20 22:00,1/1/20,10:00:00 PM,3707.115587,1031.203612,1210.790178,1465.121797
1/1/20 23:00,1/1/20,11:00:00 PM,3453.596868,991.0131123,1138.564458,1324.019298
1/2/20 0:00,1/2/20,12:00:00 AM,3304.32247,970.9178624,1097.292618,1236.11199
1/2/20 1:00,1/2/20,1:00:00 AM,3238.814285,968.4500247,1082.488588,1187.875672
